8,9,0,1,2,3,4,5,6,7
0,0,0,0.0,325.0938381452346,0.0,1.7591228190804422,False,False,False
0,10,8,34.0,308.00526716597483,0.0,-5.724996295768135,False,False,False
0,20,16,172.0,235.16033357912212,0.0,293.98779837246735,False,False,False
0,30,-8,116.0,274.34404121799804,0.0,199.61750612930837,False,False,False
0,40,6,114.0,273.9794997319402,0.0,195.7006711573282,False,False,False
0,50,0,158.0,245.37161357557522,0.0,200.95545851356678,False,False,False
0,60,28,328.0,159.44959722184754,0.0,154.99685801564812,False,False,False
0,65,-43.862265256803134,352.13773474319686,118.47721181724779,0.006572541382667965,100.71822847918112,False,True,True
1,0,0,0.0,325.0938381452346,0.0,1.7591228190804422,False,False,False
1,10,8,34.0,308.00526716597483,0.0,-5.724996295768135,False,False,False
1,20,16,172.0,235.16033357912212,0.0,293.98779837246735,False,False,False
1,30,-12,102.0,287.0735762332541,0.0,190.86456156181498,False,False,False
1,40,4,76.0,313.63372753189503,0.0,175.29797916100253,False,False,False
1,50,26,244.0,202.62957475100598,0.0,165.92769730957917,False,False,False
1,60,4,366.0,139.30169172694895,0.0,142.94466584318218,False,False,False
1,70,-2,360.0,143.73253545108264,0.0,144.70730562080007,False,False,False
1,80,0,358.0,145.36940220611768,0.0,145.54642292323385,False,False,False
1,90,0,366.0,139.26289849226256,0.0,142.77098850597983,False,False,False
1,100,-2,370.0,136.50998471776245,0.0,141.54031037271574,False,False,False
1,110,0,368.0,138.50793102240075,0.0,142.0381114329156,False,False,False
1,120,0,368.0,138.08266453596943,0.0,141.8821322127457,False,False,False
1,130,0,374.0,133.55987143579287,0.0,139.46512782202944,False,False,False
1,140,0,380.0,130.7569292941481,0.0,138.46108208707506,False,False,False
1,150,0,380.0,130.53227519894125,0.0,138.3202993777688,False,False,False
1,160,0,382.0,128.29852172075783,0.0,136.7878264519807,False,False,False
1,170,0,382.0,129.29308174774593,0.0,137.16156405838268,False,False,False
1,180,0,380.0,130.12137041070667,0.0,137.2302368875857,False,False,False
1,190,-2,364.0,147.28553673250454,0.0,135.72377774655658,False,False,False
1,200,0,364.0,147.60189275091344,0.0,135.76465307833462,False,False,False
1,210,2,366.0,146.76144207680898,0.0,135.4208449439128,False,False,False
1,220,2,370.0,143.17978248680438,0.0,134.21254661535957,False,False,False
1,230,-2,370.0,142.3126416373361,0.0,133.7277482418851,False,False,False
1,240,0,374.0,139.64452444079615,0.0,132.74168611722794,False,False,False
1,250,-2,372.0,140.159561679742,0.0,132.95988633295065,False,False,False
1,260,0,370.0,143.0008431771375,0.0,135.17223800981282,False,False,False
1,270,0,368.0,143.15677093767462,0.0,135.28886281507405,False,False,False
1,280,2,370.0,142.73970993751382,0.0,134.98035205051522,False,False,False
1,290,-2,374.0,138.67685209128646,0.0,133.3304925527053,False,False,False
1,300,0,376.0,137.86980419679477,0.0,133.1107543931689,False,False,False
1,310,0,370.0,142.28595138481163,0.0,135.00110250669235,False,False,False
1,320,0,370.0,141.33320264271418,0.0,134.6290415275199,False,False,False
1,330,2,374.0,139.59474211798954,0.0,133.0720365400536,False,False,False
1,340,0,372.0,141.36486420658338,0.0,133.40950335879936,False,False,False
1,350,0,370.0,142.09527891202512,0.0,133.79071822520896,False,False,False
1,360,0,376.0,137.6892774424182,0.0,130.40740720838326,False,False,False
1,370,2,376.0,139.0327952656372,0.0,131.11843374150737,False,False,False
1,380,2,378.0,137.4544627104695,0.0,129.8971704444064,False,False,False
1,390,0,380.0,135.2563140962471,0.0,128.00706816448445,False,False,False
1,400,0,380.0,135.98602691274746,0.0,128.23323093062336,False,False,False
1,410,-2,378.0,136.68187032873462,0.0,128.594871406953,False,False,False
1,420,0,380.0,136.23114433700303,0.0,128.397611422767,False,False,False
1,430,-52.55590932432808,329.44409067567193,134.05920012423462,0.0,126.37779127954958,False,True,True
2,0,0,0.0,325.0938381452346,0.0,1.7591228190804422,False,False,False
2,10,8,34.0,308.00526716597483,0.0,-5.724996295768135,False,False,False
2,20,16,172.0,235.16033357912212,0.0,293.98779837246735,False,False,False
2,30,-8,116.0,274.06884517487595,0.0,200.57586510652186,False,False,False
