8,9,0,1,2,3,4,5,6,7
0,10,16,40,305.66641724040295,0.0,-356.8406603310289,False,False,False
0,20,28,302,173.37522555468883,0.0,-349.0071324221007,False,False,False
0,30,2,550,37.68241591612128,0.9181485992691839,6.240718456642269,False,False,False
0,39,2000,3050.0,4.4553099733869495,1.0,84.6447563058306,True,False,True
1,10,4,20,315.7391349135934,0.0,-357.9590612023184,False,False,False
1,20,8,68,290.1145818243952,0.0,-356.78640764631535,False,False,False
1,30,4,152,249.3108455476993,0.0,2.386361397716014,False,False,False
1,40,16,204,222.61335676282215,0.0,-356.6869145157128,False,False,False
1,50,8,256,197.2116788601661,0.0,-356.35667609117104,False,False,False
1,60,22,444,102.97198501464791,0.2109108621529469,-4.892672392181202,False,False,False
1,70,607.9999999999994,1149.9999999999995,25.450620826410642,1.0,312.81505671396974,False,False,False
1,80,2000,3149.9999999999995,25.307761272344514,1.0,226.78374785612263,True,False,True
2,10,4,12,318.37697642643633,0.0,-358.04260273203187,False,False,False
2,20,30,234,208.02443553449692,0.0,-346.810410528132,False,False,False
2,30,26,526,61.00319175831332,0.6751887022157292,-7.56769327041689,False,False,False
2,37,-30.21579605198402,1017.7842039480159,41.85366342204112,0.9653404930436905,189.98541319567218,False,True,True
3,10,4,20,315.2592502789656,0.0,-357.6273252458986,False,False,False
3,20,24,160,245.5188984762097,0.0,-353.4462727130338,False,False,False
3,30,14,394,127.68280556490502,0.0,7.823937717306062,False,False,False
3,40,0,442,104.00326052849346,0.20939858777696616,8.528673717238208,False,False,False
3,50,16,488,81.17262756138122,0.45934761441090555,2.328205612415635,False,False,False
3,60,-2,1046.0,50.971551317997296,0.8147065984903823,183.72425403007117,False,False,False
3,66,-42.240949821593624,975.7590501784064,81.5128839710257,0.47945538536348165,172.74299871040247,False,True,True
4,10,8,28,311.96177087392334,0.0,-357.98787593911595,False,False,False
4,20,4,128,261.5666605209241,0.0,1.2397960254844176,False,False,False
4,30,4,168,240.51967012711813,0.0,-2.2964546519939226,False,False,False
